Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Race
Larceny-theft,2730.1,2798.9,2934.8,2831.2,2848.4,2887.3,2870.9,2803.3,2876.5,2751.1,2652.1,2682.4,2560.1,2591.0,2895.8,2822.9,2590.7,2575.2,2177.0,1933.2,1854.1,1777.2,1637.2,1568.4,1537.3,1426.2,1392.4,1577.1,1757.9,1788.1,1605.4,1531.5,1427.3,1248.2,1193.1,1036.6,891.6,843.6,679.4,622.9,AfricanAmerican
Motor vehicle theft,340.1,282.9,254.8,244.2,267.9,353.6,495.8,589.3,785.4,911.6,838.4,807.4,789.0,786.8,754.2,657.2,554.7,482.1,363.5,375.5,381.5,358.2,336.2,318.7,280.1,288.7,254.7,215.7,195.5,151.1,118.7,106.2,94.3,93.4,109.6,127.7,145.7,153.4,140.2,122.8,AfricanAmerican
Arson,27.6,27.9,28.5,26.0,26.4,25.5,26.1,25.8,31.5,29.4,32.2,32.8,32.3,36.3,43.0,40.1,35.7,39.7,31.3,30.9,29.9,28.6,27.1,24.8,25.8,25.8,25.3,25.9,22.4,19.3,17.9,22.8,20.6,16.1,14.5,11.3,11.5,10.1,9.6,9.0,AfricanAmerican
Simple assault,615.7,619.8,684.6,708.4,683.1,804.6,873.4,1005.4,1126.4,1280.3,1269.2,1410.2,1421.6,1513.6,1602.8,1643.5,1650.3,1670.1,1538.6,1473.4,1469.4,1532.4,1516.4,1584.7,1661.1,1686.7,1656.6,1628.8,1578.3,1513.0,1421.3,1323.0,1234.2,1098.5,1067.1,942.9,944.5,883.5,873.1,859.4,AfricanAmerican
Vandalism,332.5,362.9,364.9,365.1,392.5,436.9,417.2,429.1,469.4,503.9,532.2,544.8,539.0,526.4,536.7,509.6,485.9,471.9,423.3,358.4,346.1,339.5,327.1,339.9,323.8,353.9,380.2,361.2,347.8,305.6,270.3,262.9,248.7,206.2,211.5,206.5,198.7,186.3,161.9,157.9,AfricanAmerican
Weapons law violations,158.5,182.0,181.2,179.1,192.6,203.6,224.9,240.1,331.4,369.6,347.0,431.3,469.6,499.9,477.4,418.0,361.3,348.0,284.1,251.4,222.7,226.0,204.3,226.9,238.3,288.2,297.2,282.8,263.0,223.3,201.4,189.3,167.6,142.4,154.0,145.0,155.7,146.8,133.9,120.7,AfricanAmerican
Drug abuse violations,336.8,332.1,363.3,342.8,388.5,478.7,540.7,696.9,1033.9,1270.7,935.0,975.4,1006.2,1091.4,1277.3,1491.7,1506.8,1421.5,1283.7,1117.2,1060.9,991.3,894.0,930.5,931.9,970.1,1006.9,978.5,850.7,765.6,723.7,624.3,598.9,521.6,480.6,396.9,399.1,383.5,376.5,316.1,AfricanAmerican
Driving under the influence,19.5,16.8,20.2,17.7,15.3,15.9,20.5,15.8,20.3,15.7,16.5,18.5,18.1,16.5,19.2,19.0,21.0,21.8,23.5,22.4,18.9,16.3,16.6,14.0,12.7,12.2,12.0,13.7,12.1,12.2,12.2,9.9,8.7,7.3,7.4,7.2,8.0,7.3,6.9,5.9,AfricanAmerican
Liquor law violations,76.2,84.8,102.6,94.7,84.7,97.9,118.5,119.3,136.8,143.3,157.1,165.8,146.6,135.3,134.4,142.6,173.4,164.6,171.5,145.9,131.5,111.0,113.4,100.4,100.6,101.0,115.0,121.5,127.1,119.4,118.1,108.3,99.9,79.6,67.9,53.1,45.3,36.5,30.9,32.8,AfricanAmerican
Drunkenness,41.2,38.1,46.1,43.1,38.9,31.9,47.5,34.0,36.6,43.5,54.8,46.9,41.1,34.7,41.9,40.8,42.9,41.4,35.4,30.4,29.4,28.1,25.1,26.9,23.2,22.8,22.7,22.4,22.1,21.7,19.2,19.8,16.2,12.6,11.5,9.2,8.7,6.6,7.6,7.5,AfricanAmerican
Disorderly conduct,669.1,820.4,1046.6,753.5,597.9,612.6,630.9,722.6,894.0,952.8,889.7,1027.1,1043.1,1113.9,1203.7,1286.3,1501.5,1421.4,1136.3,1026.6,1009.2,1101.5,1199.7,1242.8,1288.6,1404.0,1431.7,1424.1,1341.7,1239.8,1123.2,1025.3,935.1,781.9,661.3,554.5,532.5,486.9,443.9,410.4,AfricanAmerican
Curfew and loitering,263.8,570.5,592.0,479.0,536.8,440.2,428.1,514.6,417.0,435.4,399.2,436.6,414.8,382.7,557.5,642.7,905.5,995.3,939.5,785.8,695.4,682.9,736.1,738.0,773.9,877.5,971.5,835.9,797.9,735.5,646.7,496.9,507.9,465.5,456.1,368.3,255.7,223.0,164.4,79.5,AfricanAmerican
Running away,467.9,653.4,425.6,363.3,413.8,483.7,507.9,520.9,566.2,583.6,661.3,683.3,673.5,653.1,988.0,957.8,657.3,679.3,563.0,501.1,461.0,451.8,408.4,439.2,444.0,438.2,478.7,481.7,509.5,443.3,,,,,,,,,,,AfricanAmerican
Violent crimes*,983.9,1032.5,983.8,951.8,945.6,968.8,1002.3,984.6,1097.4,1269.3,1308.7,1327.4,1393.4,1470.7,1546.8,1499.8,1243.4,1091.5,944.1,839.5,786.9,758.3,707.6,721.3,713.0,799.5,854.3,820.1,841.0,762.2,665.6,609.4,559.2,507.8,501.1,460.8,472.1,464.0,420.7,383.0,AfricanAmerican
Property crime index,4385.3,4392.1,4453.6,4164.5,4045.9,4183.5,4306.5,4282.9,4549.3,4499.5,4265.3,4242.9,4116.5,4119.9,4421.2,4215.5,3812.6,3714.7,3115.9,2813.1,2712.5,2580.2,2407.6,2311.4,2238.0,2159.3,2121.1,2279.1,2486.7,2450.0,2165.0,2088.5,1924.9,1674.2,1628.7,1448.2,1294.4,1238.1,999.7,903.4,AfricanAmerican
All crimes,6798.6,5524.2,5825.9,5068.2,5059.9,5818.8,5632.1,6129.5,6395.1,6623.0,6577.0,6507.0,6407.6,7048.6,7638.8,8119.4,8424.1,8318.4,6562.6,6344.3,5687.0,5028.2,5266.0,4935.6,4630.2,4683.9,4397.1,4307.3,3826.8,3665.8,3348.3,3297.9,3053.5,2682.8,2371.5,2606.3,2405.7,2727.1,2251.8,2558.3,AmericanIndian
Murder and nonneglient manslaughter,4.6,2.7,8.3,4.9,3.0,1.8,6.1,7.0,4.1,4.7,4.2,6.2,3.5,5.6,5.6,8.2,4.9,2.9,13.1,5.3,2.3,6.8,4.9,2.4,1.8,4.5,1.4,3.5,1.0,1.7,0.8,1.0,2.0,2.0,1.0,1.1,1.9,1.1,1.3,3.5,AmericanIndian
Forcible rape*,16.9,6.5,16.6,12.4,15.1,13.4,11.8,8.4,11.0,15.0,13.8,9.6,19.5,13.8,21.8,10.0,13.6,11.2,14.5,12.2,9.2,6.6,10.7,12.4,10.7,7.4,7.6,5.9,4.8,3.9,4.5,2.8,5.2,,,,,,,,AmericanIndian
Robbery,54.5,49.0,49.0,44.9,32.5,37.8,40.3,40.9,45.6,43.3,41.0,59.6,58.2,56.5,71.2,77.5,61.2,60.2,44.8,43.2,38.6,25.6,24.3,24.5,17.5,25.0,28.2,27.9,20.5,23.5,21.1,17.3,18.9,12.4,18.0,13.0,19.4,13.7,15.4,14.8,AmericanIndian
Aggravated assault,128.9,102.1,130.1,98.8,101.6,129.0,116.2,127.2,156.9,153.1,164.5,151.6,166.7,205.3,223.4,231.3,208.4,190.4,175.0,164.3,149.9,134.8,142.1,118.7,126.4,118.6,136.5,108.8,91.7,89.2,87.9,83.6,67.8,64.7,53.9,72.3,72.7,93.6,79.6,105.6,AmericanIndian
Burglary,685.4,586.7,598.3,461.3,482.8,496.2,461.2,502.3,530.3,534.2,507.2,554.4,446.1,503.3,491.4,468.8,475.3,420.5,336.9,272.1,235.2,224.0,195.5,207.7,181.9,143.8,164.2,147.8,120.0,109.7,85.4,86.9,77.4,70.9,63.6,74.3,72.8,80.9,60.5,71.9,AmericanIndian
Larceny-theft,1714.5,1383.3,1512.7,1466.1,1612.3,1825.5,1774.0,1673.9,1862.8,1934.6,1762.3,1750.0,1661.9,1731.2,1755.1,1758.6,1914.3,1820.0,1421.9,1298.7,1174.6,986.5,932.9,890.8,842.5,772.4,601.8,662.0,638.2,660.3,608.2,600.0,537.8,492.0,445.7,378.0,365.3,327.4,246.9,233.7,AmericanIndian
Motor vehicle theft,253.5,188.2,180.3,137.0,161.8,197.0,229.5,237.7,241.5,340.9,270.9,283.1,261.6,289.3,301.9,332.3,279.9,274.4,177.8,147.6,150.5,127.9,118.8,117.6,95.2,88.6,69.1,76.7,52.6,51.2,36.3,29.4,31.7,27.2,23.5,38.2,39.6,51.4,45.8,52.8,AmericanIndian
Arson,18.0,22.8,21.1,18.0,27.7,30.5,16.0,22.4,25.0,25.0,24.0,21.3,22.8,25.0,33.3,30.4,27.9,18.1,25.5,20.4,19.1,20.3,13.8,14.9,15.1,14.7,13.0,10.9,10.9,11.9,8.3,6.0,4.5,8.7,6.7,12.6,10.1,4.0,5.8,5.6,AmericanIndian
Simple assault,265.8,252.8,238.4,228.0,217.9,262.4,267.7,283.8,354.5,401.1,443.4,430.0,494.0,584.9,663.4,661.4,681.4,735.8,596.5,602.1,581.4,547.9,519.8,469.1,472.4,510.9,494.2,436.7,386.0,395.0,366.3,373.0,333.4,311.1,273.1,288.9,296.8,327.3,337.2,384.4,AmericanIndian
Vandalism,315.7,236.4,246.0,222.4,226.8,280.3,285.2,290.5,297.0,306.6,370.3,334.9,368.3,411.1,437.6,448.4,441.0,414.3,322.9,345.8,279.9,248.0,244.8,253.1,229.9,233.5,228.3,244.6,216.3,181.0,158.8,150.3,135.0,108.5,106.2,110.3,129.3,111.7,108.2,114.8,AmericanIndian
Weapons law violations,73.3,60.7,44.9,35.9,38.0,50.9,47.1,50.3,49.0,60.6,55.8,71.3,95.2,105.2,130.6,133.9,125.0,119.7,81.3,89.7,65.4,61.2,57.1,51.3,65.2,63.6,69.2,59.8,50.5,45.5,37.6,36.5,31.8,29.7,24.0,29.4,33.7,33.2,29.1,32.2,AmericanIndian
Drug abuse violations,202.9,171.5,184.1,143.8,156.6,156.7,123.3,141.2,166.1,168.4,111.2,86.4,111.1,153.5,233.6,334.1,380.1,399.5,378.5,361.0,318.7,329.6,308.4,330.2,300.6,325.7,289.5,298.8,254.9,271.9,303.4,284.1,272.1,262.0,268.7,293.2,259.6,287.2,297.5,294.8,AmericanIndian
Driving under the influence,136.2,124.5,129.8,111.6,92.7,111.6,109.1,101.0,115.4,103.9,102.6,87.1,95.5,88.9,64.8,80.4,90.3,88.8,99.7,94.7,75.9,75.3,78.4,67.3,60.6,58.1,61.3,57.3,51.0,42.6,33.8,34.5,27.1,25.0,22.9,38.9,27.8,33.2,29.4,27.9,AmericanIndian
Liquor law violations,626.7,755.2,880.5,753.7,583.2,796.4,687.9,1014.7,842.7,835.2,1047.1,983.2,870.9,834.3,857.0,993.7,1083.9,1063.5,804.3,856.2,732.8,591.3,751.4,710.1,607.8,617.3,678.5,665.8,618.7,579.6,491.8,489.5,414.1,361.1,272.6,290.2,222.8,278.9,209.9,256.0,AmericanIndian
Drunkenness,394.3,342.7,350.4,230.3,195.0,158.5,182.9,147.9,164.4,165.1,130.5,114.2,101.1,81.8,97.0,120.0,133.9,111.8,176.2,55.6,91.2,78.2,69.9,68.6,59.9,62.2,50.4,62.7,60.6,45.6,46.9,46.5,36.5,31.7,27.7,58.4,40.5,87.1,29.5,54.1,AmericanIndian
Disorderly conduct,422.3,248.2,231.2,231.8,179.9,189.4,204.2,215.0,280.5,247.0,273.5,257.1,281.4,327.0,427.2,429.6,494.5,528.8,338.3,409.3,295.6,306.8,449.2,376.7,406.6,456.6,442.9,367.6,308.8,292.8,272.2,265.7,241.1,191.3,176.4,228.7,172.6,225.5,186.3,227.4,AmericanIndian
Curfew and loitering,407.3,204.9,207.1,201.1,213.9,272.3,234.5,386.9,240.8,226.7,267.7,226.0,262.5,370.6,427.4,530.1,566.0,617.0,475.4,450.5,434.2,284.0,308.4,201.1,171.4,219.1,208.6,218.3,177.9,183.7,166.9,177.0,179.1,124.7,101.8,87.2,88.9,88.1,58.1,61.0,AmericanIndian
Running away,732.2,439.9,421.0,427.9,511.9,544.2,606.7,548.8,765.3,683.0,732.2,593.9,634.7,692.0,588.4,602.2,573.7,556.4,410.2,392.7,447.0,331.8,332.5,392.0,349.3,362.0,370.2,367.8,352.2,348.9,,,,,,,,,,,AmericanIndian
Violent crimes*,187.9,153.7,187.5,148.6,137.0,168.7,162.5,175.1,206.6,201.0,209.7,217.3,228.5,267.4,300.3,317.1,274.5,253.4,232.9,212.7,190.8,167.2,171.2,145.7,145.7,148.1,166.1,140.2,113.2,114.4,109.7,101.9,88.8,79.1,72.9,86.4,94.0,108.4,96.4,123.9,AmericanIndian
Property crime index,2671.5,2181.1,2312.4,2082.4,2284.1,2549.6,2480.5,2436.3,2659.6,2834.7,2564.5,2608.5,2392.4,2548.9,2581.7,2590.3,2697.4,2532.9,1962.1,1739.0,1579.6,1358.6,1260.8,1231.0,1134.6,1019.8,848.1,897.4,821.5,832.9,738.3,722.2,651.2,599.0,539.5,503.0,487.9,463.7,359.1,364.0,AmericanIndian
All crimes,2820.1,2718.0,2707.1,2362.0,2259.5,2571.0,2485.5,2798.5,3223.8,2104.4,2977.5,3102.5,3056.1,3164.8,3455.0,3284.2,3514.8,3302.0,2637.4,2395.8,2196.9,1974.8,2129.8,1994.3,1809.4,1596.5,1660.1,1650.6,1612.9,1459.9,1293.4,1113.7,1154.6,692.5,622.3,661.1,611.2,549.3,460.7,454.7,Asian
Murder and nonneglient manslaughter,2.2,3.8,3.5,2.0,1.0,1.8,3.2,3.2,3.8,3.4,3.5,4.0,3.2,4.1,5.1,4.5,6.3,4.4,3.9,2.5,2.2,3.9,1.5,2.0,1.0,0.8,1.0,0.9,0.9,0.6,0.4,0.2,0.1,0.4,0.4,0.1,0.8,0.4,0.4,0.1,Asian
Forcible rape*,7.2,2.0,5.3,3.6,2.8,3.4,3.9,3.6,4.2,3.7,5.3,5.0,5.3,3.4,4.6,3.9,3.5,3.4,3.3,4.5,1.8,3.1,3.0,2.4,2.2,1.6,1.9,2.2,1.1,2.1,1.1,1.3,1.6,,,,,,,,Asian
Robbery,66.8,55.4,59.8,49.9,43.8,38.0,32.2,37.8,48.7,42.1,46.8,61.7,65.1,66.6,75.3,74.0,84.3,57.5,43.2,37.6,37.0,32.1,32.4,25.8,23.8,24.0,25.7,25.8,24.4,22.1,17.5,16.6,18.5,8.4,9.1,12.5,13.0,11.4,11.8,12.5,Asian
Aggravated assault,42.3,37.7,37.2,33.8,34.2,38.8,41.8,41.0,56.9,59.5,72.9,72.4,72.5,82.7,95.6,92.7,91.2,97.9,85.9,76.7,70.6,60.0,55.3,53.6,45.8,40.7,45.4,40.3,36.7,34.3,27.0,22.7,26.5,17.7,20.1,19.1,18.3,16.8,21.5,18.8,Asian
Burglary,328.2,308.2,288.7,212.4,172.4,198.3,185.4,199.0,247.9,173.4,203.4,228.9,219.5,188.3,171.0,165.5,173.9,170.6,136.9,116.6,94.9,80.7,81.9,73.3,61.7,48.1,58.9,51.4,54.8,42.6,39.9,35.1,40.2,28.3,24.0,22.2,22.7,18.6,13.0,15.4,Asian
Larceny-theft,1043.0,944.7,900.4,755.0,671.6,776.8,762.2,858.8,979.0,643.5,836.2,862.7,847.3,869.4,934.8,919.8,957.0,903.1,685.0,600.5,540.0,473.8,491.4,434.2,422.9,349.0,321.5,341.0,340.0,364.3,313.8,268.8,270.5,168.2,138.9,150.0,127.5,111.2,76.0,73.4,Asian
Motor vehicle theft,146.5,98.5,86.3,78.6,61.8,76.1,91.4,129.9,171.2,149.0,168.8,159.3,141.8,157.9,142.1,141.6,150.3,115.1,82.4,90.3,71.5,56.3,65.7,64.1,47.4,39.0,44.7,31.5,22.2,16.6,12.2,9.4,11.3,6.1,6.4,6.8,8.6,10.0,7.6,6.2,Asian
Arson,8.2,7.2,6.4,6.0,8.4,7.6,4.8,10.5,11.1,6.5,7.5,11.2,10.1,10.7,9.8,9.9,8.8,11.2,7.4,6.3,6.3,6.6,5.2,4.8,6.9,6.2,8.3,6.9,6.2,4.4,3.8,3.4,3.1,2.2,2.4,1.5,2.5,1.5,1.4,0.9,Asian
Simple assault,158.7,155.2,150.2,157.9,125.4,144.9,149.8,178.8,218.6,127.5,253.9,251.3,236.4,257.7,268.2,259.1,282.2,252.9,226.6,207.3,196.5,188.8,205.6,197.8,196.9,173.6,167.9,157.5,158.8,139.0,134.7,110.9,113.4,68.4,66.8,75.7,69.4,70.6,69.8,75.6,Asian
Vandalism,103.1,88.8,93.4,83.5,89.1,121.5,122.4,132.8,143.5,98.2,150.9,163.2,144.4,191.6,221.7,172.2,160.6,139.2,111.5,104.4,95.2,81.4,88.0,80.3,77.4,74.2,91.7,92.4,84.6,61.9,48.1,43.1,36.8,21.4,21.6,27.0,21.9,16.5,14.4,14.4,Asian
Weapons law violations,43.7,42.2,30.2,28.5,33.3,37.7,37.8,45.7,57.7,46.2,60.4,71.2,68.7,76.4,89.3,73.4,67.1,67.2,48.0,51.4,42.1,36.4,32.8,42.3,36.6,34.7,36.7,33.3,27.1,24.3,22.0,19.9,23.3,17.5,15.3,16.5,14.5,13.8,14.0,13.9,Asian
Drug abuse violations,101.9,125.0,124.9,125.0,120.2,142.2,84.5,93.5,87.9,48.8,55.1,59.9,67.5,76.9,111.4,143.6,159.2,161.8,145.5,136.6,140.9,152.1,146.6,128.9,114.4,114.1,111.5,112.2,108.0,114.4,110.6,108.2,118.5,82.9,80.0,71.0,72.3,78.3,71.8,59.6,Asian
Driving under the influence,11.4,17.7,15.7,12.7,13.5,17.4,13.1,14.4,15.9,7.0,11.4,12.8,8.2,10.5,11.3,12.3,17.2,15.9,17.3,17.9,13.6,12.6,13.9,13.4,15.4,11.1,14.3,11.2,11.9,9.9,10.2,6.9,7.0,6.2,6.0,6.0,5.7,4.4,4.8,4.3,Asian
